Regione,Totale Files,Files Validi,Files Invalidi,Totale Feature,Feature Invalide
Abruzzo,305,254,51,4499754,68
Basilicata,131,96,35,2125499,52
Calabria,404,339,65,4265976,91
Campania,547,469,78,5699625,108
Emilia-Romagna,330,267,63,5418463,94
Friuli-VeneziaGiulia,215,196,19,2250598,22
Lazio,378,314,64,5220631,98
Liguria,234,215,19,3143566,22
Lombardia,1500,1436,64,8755919,78
Marche,225,187,38,2539760,55
Molise,136,128,8,1749587,9
Piemonte,1180,1097,83,9684097,103
Puglia,256,195,61,4967384,112
Sardegna,376,334,42,3771226,56
Sicilia,391,287,104,8245350,178
Toscana,273,212,61,5656713,104
Umbria,92,78,14,1833292,20
Valled'Aosta,74,66,8,909967,9
Veneto,560,511,49,6016158,57
